date,route_id,stop_id,stop_name,hour,day_of_week,is_weekend,is_holiday,peak_hour,passenger_count,bus_capacity,buses_allocated,distance_km,travel_time_min
2025-08-01,R101,S01,Central Station,6,4,0,0,0,41,40,3,2.32,9
2025-08-01,R101,S01,Central Station,7,4,0,0,1,163,40,5,7.25,23
2025-08-01,R101,S01,Central Station,8,4,0,0,1,159,40,5,14.11,50
2025-08-01,R101,S01,Central Station,9,4,0,0,1,166,40,4,5.1,18
2025-08-01,R101,S01,Central Station,10,4,0,0,0,45,40,2,7.76,23
2025-08-01,R101,S01,Central Station,11,4,0,0,0,86,40,4,6.84,20
2025-08-01,R101,S01,Central Station,12,4,0,0,0,85,40,3,9.88,29
2025-08-01,R101,S01,Central Station,13,4,0,0,0,87,40,3,12.96,35
2025-08-01,R101,S01,Central Station,14,4,0,0,0,101,40,3,12.26,39
2025-08-01,R101,S01,Central Station,15,4,0,0,0,106,40,4,2.96,10
2025-08-01,R101,S01,Central Station,16,4,0,0,0,40,40,1,10.42,26
2025-08-01,R101,S01,Central Station,17,4,0,0,1,188,40,5,5.04,17
2025-08-01,R101,S01,Central Station,18,4,0,0,1,176,40,5,3.8,11
2025-08-01,R101,S01,Central Station,19,4,0,0,1,191,40,4,2.24,8
2025-08-01,R101,S01,Central Station,20,4,0,0,1,188,40,6,8.82,24
2025-08-01,R101,S01,Central Station,21,4,0,0,0,11,40,2,6.47,24
2025-08-01,R101,S01,Central Station,22,4,0,0,0,5,40,1,4.09,12
2025-08-01,R101,S02,City Mall,6,4,0,0,0,19,40,1,3.7,9
2025-08-01,R101,S02,City Mall,7,4,0,0,1,134,40,5,4.64,12
2025-08-01,R101,S02,City Mall,8,4,0,0,1,152,40,4,8.15,28
2025-08-01,R101,S02,City Mall,9,4,0,0,1,156,40,5,2.42,6
2025-08-01,R101,S02,City Mall,10,4,0,0,0,27,40,1,9.59,36
2025-08-01,R101,S02,City Mall,11,4,0,0,0,74,40,2,5.97,16
